Feature,Gain
prdy_vrss_x,1.3561737537384033
flow_lblt,1.2381514310836792
cras,1.2253477573394775
ntin_inrt,1.2071465253829956
prdy_vrss_sign_x,1.1282992362976074
grs,1.1276012659072876
acml_vol_x,1.1143544912338257
thtr_ntin,0.9380657076835632
acml_tr_pbmn_x,0.9063845872879028
equt_inrt,0.8757143020629883
roe_val,0.8526278734207153
bsop_prfi_inrt,0.784456729888916
totl_aset_inrt,0.48568350076675415
sale_account,0.47371575236320496
lblt_rate,0.4577714204788208
bram_depn,0.4107067286968231
cptl_ntin_rate,0.34475019574165344
bsop_prti,0.25286269187927246
