Date,Close,High,Low,Open,Volume
1997-01-02,68.72000122070312,68.91000366210938,67.22000122070312,67.93000030517578,7000000
1997-01-06,65.91999816894531,67.38999938964844,65.69000244140625,67.38999938964844,8800000
1997-01-07,64.52999877929688,66.13999938964844,64.3499984741211,65.91999816894531,11600000
1997-01-08,66.36000061035156,66.36000061035156,64.0,64.52999877929688,17100000
1997-01-09,68.41999816894531,68.47000122070312,65.43000030517578,66.36000061035156,21000000
1997-01-10,69.2300033569336,69.7699966430664,68.04000091552734,68.41999816894531,19400000
1997-01-13,70.1500015258789,70.69999694824219,69.7300033569336,70.22000122070312,14600000
1997-01-14,73.2699966430664,73.41999816894531,69.87000274658203,70.1500015258789,19400000
1997-01-15,74.47000122070312,74.51000213623047,73.04000091552734,73.2699966430664,22400000
1997-01-16,75.3499984741211,75.3499984741211,73.6500015258789,74.47000122070312,22200000
1997-01-17,74.0199966430664,76.02999877929688,73.44000244140625,75.06999969482422,22700000
1997-01-20,75.44000244140625,75.69999694824219,74.45999908447266,74.66000366210938,21500000
1997-01-21,72.44999694824219,75.76000213623047,72.41000366210938,75.44000244140625,21900000
1997-01-22,71.4000015258789,72.44999694824219,70.69000244140625,72.44999694824219,18100000
1997-01-23,71.0,71.95999908447266,70.5999984741211,71.44000244140625,14400000
1997-01-24,71.12000274658203,71.12000274658203,68.94999694824219,71.0,16700000
1997-01-27,69.37999725341797,71.51000213623047,69.37999725341797,71.51000213623047,11700000
1997-01-28,69.41000366210938,70.87000274658203,68.16999816894531,69.37999725341797,13900000
1997-01-29,69.55000305175781,70.4800033569336,68.66999816894531,69.41000366210938,12900000
1997-01-30,70.80999755859375,71.13999938964844,69.37999725341797,69.55000305175781,14700000
1997-01-31,71.62000274658203,71.91999816894531,70.80999755859375,70.80999755859375,14400000
1997-02-03,72.01000213623047,72.91000366210938,71.20999908447266,71.47000122070312,11900000
1997-02-04,72.9800033569336,73.05000305175781,72.01000213623047,72.01000213623047,15900000
1997-02-05,73.45999908447266,74.45999908447266,72.9800033569336,72.9800033569336,19200000
1997-02-06,73.58999633789062,74.02999877929688,72.79000091552734,73.30000305175781,17900000
1997-02-10,74.37000274658203,74.37000274658203,73.58999633789062,73.58999633789062,14200000
1997-02-11,74.63999938964844,74.76000213623047,74.08000183105469,74.37000274658203,18800000
1997-02-12,74.62000274658203,75.04000091552734,74.23999786376953,74.63999938964844,15400000
1997-02-13,75.19999694824219,76.2699966430664,74.7699966430664,74.7699966430664,24500000
1997-02-14,75.58000183105469,75.91999816894531,74.95999908447266,75.29000091552734,20600000
1997-02-17,74.13999938964844,75.29000091552734,74.13999938964844,75.29000091552734,13300000
